proposal,topology,active_edges,dimension,motifs,exact_reference,training_score,validation_score,generalization_gap,period_train,period_validation,amplitude_train,amplitude_validation,participation_validation,failure_fraction_validation,requested_evaluations,actual_evaluations,wall_seconds
1,020000020,2,10,other,,1.754101305202,3.184876920863,1.430775615661,25.035021354114,43.542778814814,15.333333333333,15.400000000000,1.000000000000,0.000000000000,192000,192000,22.310426110
2,120122100,6,18,other,,0.915997600694,3.111656050710,2.195658450016,24.457297426370,43.249583297079,54.166666666667,54.400000000000,1.000000000000,0.000000000000,192000,192000,85.857766783
3,022200110,5,16,goodwin-like,,0.481512593293,0.909328727450,0.427816134157,25.100936538744,24.643662825608,40.666666666667,38.800000000000,1.000000000000,0.000000000000,192000,192000,58.712757644
4,212100110,6,18,positive-cycle,,1.485774367945,3.308477241615,1.822702873670,23.733246051795,50.299535884513,11.666666666667,11.933333333333,1.000000000000,0.000000000000,192000,192000,141.897713236
5,000100100,2,10,other,,1.568652305170,3.082717139274,1.514064834103,26.685018522167,45.802370300847,32.333333333333,40.000000000000,1.000000000000,0.000000000000,192000,192000,36.041819188
6,011010102,5,16,other,,1.471974469845,2.755130554149,1.283156084304,25.531682237136,34.890530376460,13.333333333333,13.333333333333,1.000000000000,0.000000000000,192000,192000,94.452845327
7,020012122,6,18,mixed-cycle,,1.163431647555,2.283467001993,1.120035354438,24.582897648851,28.937773483944,37.333333333333,34.266666666667,1.000000000000,0.000000000000,192000,192000,71.731375845
8,211010001,5,16,other,,1.500316708287,2.821448254137,1.321131545850,28.608198673803,31.980070563337,56.833333333333,47.733333333333,1.000000000000,0.000000000000,192000,192000,136.627579682
9,212010220,6,18,other,,1.436258629253,2.506492418323,1.070233789070,23.764776639074,35.196812084937,26.166666666667,30.933333333333,1.000000000000,0.000000000000,192000,192000,72.151739516
10,000010002,2,10,other,,1.545392672469,2.983140558414,1.437747885945,26.123712491102,30.654294372998,47.666666666667,39.533333333333,1.000000000000,0.000000000000,192000,192000,30.131400453
11,000022002,3,12,repressilator,,0.363414057527,0.673686073880,0.310272016353,25.704100717401,25.273640477729,108.500000000000,107.466666666667,1.000000000000,0.000000000000,192000,192000,34.757000201
12,200000001,2,10,other,,1.780987205160,3.304399555540,1.523412350380,23.978125512015,41.150458417845,16.333333333333,16.600000000000,1.000000000000,0.000000000000,192000,192000,31.306372983
13,112000200,4,14,other,,1.769890125312,3.507319768649,1.737429643337,24.561916146656,51.476201485286,18.166666666667,16.333333333333,1.000000000000,0.000000000000,192000,192000,60.869680208
14,020011100,4,14,other,,1.435638370229,3.013918778801,1.578280408572,27.107970881036,39.876882935623,20.833333333333,19.066666666667,1.000000000000,0.000000000000,192000,192000,62.749859875
16,012200212,6,18,mixed-cycle+toggle-core,,1.537653767065,2.343235591953,0.805581824888,24.795615973714,26.242087739606,22.333333333333,18.000000000000,1.000000000000,0.000000000000,192000,192000,117.525356794
17,122020000,4,14,other,,1.686640227950,3.165504903948,1.478864675998,25.297142664724,44.573485022403,38.833333333333,35.600000000000,1.000000000000,0.000000000000,192000,192000,48.107853921
18,101021020,5,16,toggle-core,,1.613806715347,3.474973695300,1.861166979953,25.333028623383,48.744011786452,22.333333333333,20.200000000000,1.000000000000,0.000000000000,192000,192000,88.152299465
19,001021100,4,14,other,,1.586907521105,3.468514810508,1.881607289403,24.682525621095,40.219945474330,31.833333333333,34.000000000000,1.000000000000,0.000000000000,192000,192000,69.498879928
20,212000011,5,16,other,,1.529103695294,3.102259913499,1.573156218205,42.436448834953,41.691447866007,85.833333333333,53.000000000000,1.000000000000,0.000000000000,192000,192000,125.744009690
21,011100220,5,16,mixed-cycle,,1.625447856220,3.591725673372,1.966277817152,25.416517007398,44.259951552673,23.833333333333,26.733333333333,0.933333333333,0.000000000000,192000,192000,89.662482850
22,110122000,5,16,other,,0.996137074115,2.130689817271,1.134552743155,25.005680153596,33.127509664113,32.000000000000,29.800000000000,1.000000000000,0.000000000000,192000,192000,76.352791765
23,210020022,5,16,toggle-core,,1.608410372765,2.646958409691,1.038548036926,25.031318972811,29.712774054741,19.333333333333,17.800000000000,1.000000000000,0.000000000000,192000,192000,81.472059856
24,101102210,6,18,goodwin-like,,0.508222741836,0.923301216214,0.415078474378,25.989568482991,24.934235821091,59.166666666667,55.800000000000,1.000000000000,0.000000000000,192000,192000,92.397478896
25,021200101,5,16,other,,1.464659772545,3.289368122061,1.824708349516,26.074622356403,42.432819425195,30.500000000000,27.533333333333,1.000000000000,0.000000000000,192000,192000,75.048023330
26,002210022,5,16,other,,0.939937922286,2.073254775397,1.133316853112,25.700589431105,29.872943361046,47.500000000000,44.066666666667,1.000000000000,0.000000000000,192000,192000,57.573052975
27,200202021,5,16,toggle-core,,1.721225317576,3.103075591882,1.381850274306,28.740555883209,33.619311178192,40.833333333333,33.866666666667,1.000000000000,0.000000000000,192000,192000,76.263236913
28,100020001,3,12,other,,1.566187265872,3.031454412290,1.465267146418,22.940638916348,32.173030296573,24.833333333333,24.466666666667,1.000000000000,0.000000000000,192000,192000,47.776680695
29,200210010,4,14,other,,1.591050188922,3.076321512130,1.485271323208,23.925890277317,33.274786304734,23.166666666667,19.933333333333,1.000000000000,0.000000000000,192000,192000,99.471455818
30,201002120,5,16,other,,1.542412456497,2.612664885557,1.070252429060,24.218906505944,35.830760552087,17.833333333333,19.933333333333,1.000000000000,0.000000000000,192000,192000,80.007432367
31,020012101,5,16,goodwin-like,,0.480227905571,1.170923627310,0.690695721739,25.548631024210,24.364858839200,62.666666666667,56.600000000000,1.000000000000,0.000000000000,192000,192000,60.883947026
32,201011110,6,18,other,,1.464341401880,3.374678707958,1.910337306078,23.869571548830,45.854982115696,44.000000000000,52.533333333333,1.000000000000,0.000000000000,192000,192000,187.758560362
33,122100011,6,18,other,,1.598061988766,3.402116452653,1.804054463886,24.199421241628,44.181287988573,13.500000000000,13.333333333333,1.000000000000,0.000000000000,192000,192000,131.009034541
