angle_deg,level_db
-90,-38.900760032313556
-88.18807286192609,-39.18802141876756
-87.43744126687686,-39.48550174721187
-86.86138850124544,-39.79389933875857
-86.37569250599205,-40.11398941740517
-85.94773205561694,-40.44663582753937
-85.56077772515712,-40.792805070461796
-85.20489189194758,-41.15358323300963
-84.87359991805229,-41.53019655355806
-84.56240469304468,-41.92403660460708
-84.26803203480229,-42.336691392885925
-83.98801030307943,-42.76998412622696
-83.72041935890297,-43.22602203033199
-83.46373227973213,-43.707258508897965
-83.21671109376665,-44.21657327070968
-82.97833557679934,-44.757377027969476
-82.74775313494057,-45.333750381844
-82.52424260923055,-45.9506311984041
-82.30718754844013,-46.61407226498835
-82.09605608820571,-47.33160333048676
-81.89038554400581,-48.11275256648845
-81.68977043465503,-48.9698194455419
-81.49385304652293,-49.919059191819564
-81.30231590921944,-50.98257118836802
-81.11487572977192,-52.191455979963976
-80.93127845396732,-53.59140704419045
-80.75129520897107,-55.25334886448562
-80.57471894232069,-57.29556261418777
-80.40136161656002,-59.934946264485774
-80.23105185120903,-63.61699125999834
-80.06363292785927,-69.15631448470353
-79.89896109230476,-71.35818975760812
-79.73690410137745,-65.40684826051516
-79.57733997271713,-61.170458181240974
-79.4201559038775,-58.24390851503318
-79.26524733355379,-56.03916560567754
-79.11251712273898,-54.277937960383355
-78.96187483759948,-52.81452841384058
-78.81323611904004,-51.56429055065978
-78.66652212648461,-50.473977512190444
-78.52165904546642,-49.508009217536326
-78.37857765030293,-48.64146879041148
-78.23721291450586,-47.856243179749654
-78.09750366270961,-47.138759631705796
-77.95939225883438,-46.478588839769834
-77.82282432597854,-45.86754579496237
-77.6877484941811,-45.29909009990925
-77.55411617273873,-44.76791373185783
-77.42188134421741,-44.269650180012064
-77.2910003776849,-43.800664511932936
-77.16143185901595,-43.357898802051864
-77.03313643640165,-42.938756297648084
-76.9060766794295,-42.54101323893151
-76.78021695030613,-42.16275077809084
-76.65552328596685,-41.80230174358182
-76.53196328996908,-41.458208530114305
-76.40950603319409,-41.12918943782318
-76.28812196249642,-40.81411150591623
-76.16778281653644,-40.511968393820695
-76.04846154811823,-40.22186222531676
-75.93013225242788,-39.94298857348338
-75.8127701006342,-39.67462395654717
-75.69635127836945,-39.41611535728363
-75.58085292865941,-39.166871385484434
-75.46625309891503,-38.92635478390021
-75.35253069163859,-38.69407603990501
-75.23966541853052,-38.46958791278742
-75.12763775771505,-38.252480723636765
-75.01642891382892,-38.042378283808816
-74.90602078074302,-37.83893436086472
-74.79639590670699,-37.64182959905904
-74.68753746172793,-37.45076882601407
-74.57942920700975,-37.265478688906185
-74.47205546629719,-37.0857055729652
-74.36540109898051,-36.911213762791
-74.25945147483127,-36.74178381328696
-74.15419245024917,-36.57721110218853
-74.0496103459117,-36.417304540443176
-73.94569192572577,-36.26188542023363
-73.84242437699076,-36.11078638340437
