point_id,feasible,selected,objective_negative_peak_gain_db,objective_psll_db,objective_active_count,objective_robustness_margin_db,constraint_null_db,constraint_kernel,peak_deg,hpbw_deg,phase_codes,attenuator_codes
0,1,1,-21.092988362971692,-17.721326628259526,14,8.790919884203438,-17.958521631043723,-1,32.96512490691362,9.715510997689282,"3;49;32;14;61;44;26;7;55;38;20;3;50;32;15;63","13;11;6;2;4;0;1;0;0;0;0;4;8;10;12;12"
1,1,0,-20.964409528342397,-15.439198211474887,14,7.5858211873713035,-16.068733357190766,-1,32.56937717526974,9.849397100141985,"3;49;32;14;61;44;26;7;55;38;20;3;50;32;24;63","13;11;6;2;4;0;1;0;0;0;0;4;8;10;12;12"
2,1,0,-20.849350994681252,-19.821043612209742,14,9.734835432572334,-18.81570918089172,-1,32.983177877903515,9.611509983285028,"3;49;32;14;61;44;26;7;56;38;20;3;50;32;15;63","13;11;7;5;4;0;1;0;0;0;2;4;7;10;12;12"
3,1,0,-20.805230873822744,-20.13291945919012,14,10.057962368710296,-18.03727442275315,-1,32.98220797306198,9.596557770954647,"3;49;32;14;61;44;26;7;56;38;20;3;50;32;15;63","13;11;7;5;4;1;1;0;0;0;2;4;7;10;12;12"
4,1,0,-20.731549570916627,-17.822760258032343,14,8.903880793359173,-11.822760258032343,-1,33.060279517267475,9.763363779113408,"30;49;32;14;61;43;26;9;54;35;20;3;49;32;15;57","15;11;6;8;7;0;1;0;0;1;0;4;8;10;12;30"
5,1,0,-20.55481200643216,-14.650107906160208,14,6.663361897165105,-8.650107906160208,-1,33.337278082291725,9.753034309886338,"31;49;35;14;61;43;26;9;55;32;21;5;52;25;15;32","23;11;6;5;7;0;1;0;0;1;2;4;7;10;11;12"
6,1,0,-20.40046861486679,-13.454280403852255,14,5.983475735015353,-7.454280403852255,-1,33.18925836699832,9.743370740525648,"17;49;32;14;61;43;26;9;55;32;20;9;49;25;15;31","31;11;6;8;7;0;1;0;0;1;2;4;7;10;11;12"
7,1,0,-20.251879656526896,-15.751605563308772,13,7.971705340003491,-13.369313513270775,-1,33.332702430206545,10.361596028896496,"30;49;36;14;61;45;26;10;56;33;20;3;52;32;15;35","13;11;6;5;7;0;1;0;0;0;2;4;7;10;12;12"
8,1,0,-20.180699834291925,-17.559115732463685,13,8.714107215980537,-15.02555960000672,-1,33.354466817188936,10.527018419394274,"3;49;33;14;61;45;26;10;56;38;20;3;45;32;15;63","13;11;10;5;7;1;1;0;0;0;2;4;7;10;12;12"
9,1,0,-20.112759632943337,-16.38105076194647,13,8.300381133607821,-13.01415412522158,-1,33.42107634186997,10.50815938941425,"3;49;33;14;61;45;26;10;56;35;20;3;45;32;15;63","13;11;10;5;7;1;1;0;0;0;3;4;7;10;12;12"
10,1,0,-20.02233860648652,-18.93881940063626,14,9.012383783329755,-16.98887726004199,-1,-31.35518832447402,9.887036429244006,"31;18;36;60;5;22;39;56;8;25;41;60;12;28;45;2","16;14;11;8;5;3;0;0;0;1;5;6;8;11;15;15"
11,1,0,-19.952798514007828,-17.654909581632673,14,8.434260982535108,-14.803294167117027,-1,-31.40245249002886,9.860667025906217,"31;18;36;60;5;22;37;56;8;25;41;60;12;28;45;2","16;14;11;8;5;3;1;0;0;1;5;6;8;11;15;15"
12,1,0,-19.72349157597534,-21.74182410566654,14,11.505293470927823,-18.302649859740903,-1,33.5518088186729,10.569306289957783,"5;51;34;16;61;44;27;9;55;37;20;2;48;32;13;59","22;20;16;5;7;3;1;0;0;0;3;7;13;16;16;22"
13,1,0,-19.649763272140298,-22.53664498274341,14,12.445969962751278,-19.130630472506603,-1,33.55113231806379,10.69943857368331,"5;51;34;16;61;44;27;9;55;37;20;2;48;32;13;59","22;20;16;5;7;3;1;0;0;0;3;7;13;16;20;22"
14,1,0,-19.628596210236687,-22.90745904867693,14,12.744392438020082,-17.313725121166968,-1,33.681061269114956,10.731975868486664,"5;51;34;16;61;44;27;9;55;37;20;2;45;32;13;59","22;20;16;5;7;3;1;0;0;0;3;7;13;16;20;22"
15,1,0,-19.61979484744396,-20.64053941835361,14,10.892130401176638,-19.71113243049149,-1,33.74544355435043,10.732480092778623,"5;53;34;16;61;44;27;9;53;37;18;2;48;32;13;59","22;20;16;5;7;3;1;0;0;0;3;7;13;16;20;22"
16,1,0,-19.44469479539943,-12.617249621546225,14,5.018808244788856,-9.587904180415663,-1,34.08891684217455,10.074323539755724,"17;51;34;14;61;43;27;62;55;38;22;58;45;25;14;62","31;11;7;5;9;3;1;0;0;2;2;4;12;17;22;23"
17,1,0,-19.403766636849042,-23.371621286620755,14,13.059844415157084,-17.371621286620755,-1,33.682697451084344,10.799804500780521,"5;51;34;16;62;44;27;9;55;37;20;2;48;30;13;59","22;20;16;11;7;3;1;0;0;1;3;7;13;16;20;22"
18,1,0,-19.331770128380292,-23.88613365306112,13,14.24942679963605,-18.371082064436195,-1,18.20995686428301,9.85542954618367,"10;1;55;45;35;25;15;5;59;49;39;29;19;9;63;54","22;20;16;11;7;1;1;0;0;1;3;7;11;13;20;22"
