angle_deg,nominal_db,envelope_min_db,envelope_max_db
-90,-25.989941626511737,-40.36424064138444,-18.208061358356332
-88.18807286192609,-25.956425298212984,-40.18693410516093,-18.18970228577713
-87.43744126687686,-25.923786067269443,-39.99686146879582,-18.171563923535846
-86.86138850124544,-25.892019421174183,-39.795886305348034,-18.15364962129838
-86.37569250599205,-25.861120943461643,-39.58578101741833,-18.13596263887207
-85.94773205561694,-25.831086312373902,-39.36819945170433,-18.118506147557405
-85.56077772515712,-25.801911299515268,-39.14465961553781,-18.101283231507455
-85.20489189194758,-25.77359176849615,-38.91653496006334,-18.08429688909287
-84.87359991805229,-25.74612367356794,-38.685052513823706,-18.067550034270198
-84.56240469304468,-25.719503058251885,-38.451296183158405,-18.051045497952316
-84.26803203480229,-25.693726053959864,-38.21621370270269,-18.034786029378054
-83.98801030307943,-25.66878887861265,-37.98062595424362,-18.018774297480764
-83.72041935890297,-25.64468783525165,-37.74523762683698,-18.00301289225272
-83.46373227973213,-25.62141931064875,-37.510648434003826,-17.987504326105192
-83.21671109376665,-25.598979773912546,-37.32949087163237,-17.972251035221973
-82.97833557679934,-25.577365775092762,-37.569118119395995,-17.957255380905558
-82.74775313494057,-25.556573943781192,-37.81445512662835,-17.942519650914214
-82.52424260923055,-25.53660098771171,-38.06578365064071,-17.928046060789512
-82.30718754844013,-25.517443691357894,-38.32340700035751,-17.913836755172806
-82.09605608820571,-25.49909891452788,-38.587652190082466,-17.89989380910972
-81.89038554400581,-25.481563590957673,-38.85887235488881,-17.886219229342018
-81.68977043465503,-25.464834726901277,-39.13744946362299,-17.872814955585827
-81.49385304652293,-25.44890939971763,-39.42379737055474,-17.85968286179541
-81.30231590921944,-25.433784756454404,-39.718365252269344,-17.8468247574121
-81.11487572977192,-25.419458012427178,-40.02164148238441,-17.834242388597403
-80.93127845396732,-25.405926449793913,-40.33415800287489,-17.821937439449968
-80.75129520897107,-25.39318741612391,-40.65649525680396,-17.809911533205828
-80.57471894232069,-25.38123832296005,-40.98928775235652,-17.798166233421384
-80.40136161656002,-25.370076644373732,-41.33323033101331,-17.786703045138804
-80.23105185120903,-25.359699915511577,-41.689085211358616,-17.775523416033543
-80.06363292785927,-25.35010573113231,-42.05768987092304,-17.764628737543454
-79.89896109230476,-25.341291744133237,-42.4399658058135,-17.754020345979402
-79.73690410137745,-25.333255664064612,-42.83692816223397,-17.74369952361705
-79.57733997271713,-25.32599525563103,-43.249696149767544,-17.73366749976973
-79.4201559038775,-25.31950833717798,-43.67950399785588,-17.723925451842064
-79.26524733355379,-25.313792779162295,-44.12771196191259,-17.714474506364294
-79.11251712273898,-25.30884650260542,-44.59581645364594,-17.7053157400074
-78.96187483759948,-25.30466747752631,-45.085457644083405,-17.69645018057839
-78.81323611904004,-25.301253721355074,-45.59842167059345,-17.687878807996626
-78.66652212648461,-25.29860329732184,-46.136632539317674,-17.679602555250057
-78.52165904546642,-25.296714312822676,-46.70212539244005,-17.671622309332413
-78.37857765030293,-25.295584917757896,-47.29698706513538,-17.663938912160656
-78.23721291450586,-25.295213302841958,-47.923240227234146,-17.656553161473067
-78.09750366270961,-25.29559769788293,-48.58263136748067,-17.649465811708072
-77.95939225883438,-25.296736370028245,-49.276256614659886,-17.6426775748636
-77.82282432597854,-25.298627621975676,-50.003917944775694,-17.636189121337456
-77.6877484941811,-25.30126979014673,-50.76304202032594,-17.630001080748666
-77.55411617273873,-25.30466124281878,-51.546922196666,-17.624114042739656
-77.42188134421741,-25.308800378215416,-52.34200964985621,-17.618528557759934
-77.2910003776849,-25.313685622550782,-53.124143117518656,-17.613245137831125
-77.16143185901595,-25.31931542802519,-53.85434885398247,-17.608264257293435
-77.03313643640165,-25.325688270769646,-54.476693962180505,-17.603586353533935
-76.9060766794295,-25.332802648735885,-54.92332050111556,-17.59921182769681
-76.78021695030613,-25.340657079528974,-55.13165139686903,-17.595141045375765
-76.65552328596685,-25.349250098178313,-55.069816264675076,-17.591374337288578
