angle_deg,uniform_db,optimized_db,chebyshev_reference_db
-90,-24.794030288518584,-25.989941626511737,-31.389648798145274
-88.18807286192609,-24.70646290566183,-25.956425298212984,-31.324384983250155
-87.43744126687686,-24.621119295399225,-25.923786067269443,-31.26093838825532
-86.86138850124544,-24.5379548458196,-25.892019421174183,-31.19928242010985
-86.37569250599205,-24.456926904111622,-25.861120943461643,-31.139391601519947
-85.94773205561694,-24.377994675492502,-25.831086312373902,-31.081241524063493
-85.56077772515712,-24.301119128891212,-25.801911299515268,-31.024808804114304
-85.20489189194758,-24.226262908860754,-25.77359176849615,-30.97007104138882
-84.87359991805229,-24.153390253242193,-25.74612367356794,-30.9170067799446
-84.56240469304468,-24.08246691614734,-25.719503058251885,-30.865595471475835
-84.26803203480229,-24.01346009586014,-25.693726053959864,-30.815817440754778
-83.98801030307943,-23.946338367299425,-25.66878887861265,-30.767653853093194
-83.72041935890297,-23.881071618706862,-25.64468783525165,-30.72108668369146
-83.46373227973213,-23.817630992261904,-25.62141931064875,-30.676098688767905
-83.21671109376665,-23.75598882834305,-25.598979773912546,-30.63267337835885
-82.97833557679934,-23.69611861318353,-25.577365775092762,-30.59079499069362
-82.74775313494057,-23.63799492968522,-25.556573943781192,-30.550448468051044
-82.52424260923055,-23.581593411179057,-25.53660098771171,-30.511619434017913
-82.30718754844013,-23.526890697933265,-25.517443691357894,-30.47429417206868
-82.09605608820571,-23.473864396227356,-25.49909891452788,-30.43845960539474
-81.89038554400581,-23.422493039826442,-25.481563590957673,-30.40410327791861
-81.68977043465503,-23.372756053700048,-25.464834726901277,-30.371213336429168
-81.49385304652293,-23.324633719843916,-25.44890939971763,-30.33977851378154
-81.30231590921944,-23.27810714507372,-25.433784756454404,-30.30978811310923
-81.11487572977192,-23.233158230668923,-25.419458012427178,-30.281231992998336
-80.93127845396732,-23.189769643754822,-25.405926449793913,-30.254100553578688
-80.75129520897107,-23.14792479031906,-25.39318741612391,-30.22838472349048
-80.57471894232069,-23.10760778976664,-25.38123832296005,-30.204075947686142
-80.40136161656002,-23.068803450924122,-25.370076644373732,-30.181166176032338
-80.23105185120903,-23.031497249411505,-25.359699915511577,-30.15964785267893
-80.06363292785927,-22.99567530630401,-25.35010573113231,-30.139513906163096
