evaluations,elapsed_seconds,best_quality
128,1.198048406000,-3.009538585985
256,2.372537518000,-2.898448837188
384,3.304503210000,-2.658094781161
512,3.801630610000,-2.658094781161
640,4.221926484000,-2.447717481274
768,4.611604606000,-2.079619249174
896,5.029788100000,-2.079619249174
1024,5.485950248000,-2.079619249174
1152,5.655022357000,-2.032692296493
1280,5.766648206000,-1.736088375994
1408,5.888800806000,-1.736088375994
1536,5.979961069000,-1.736088375994
1664,6.113408277000,-1.736088375994
1792,6.203540641000,-1.736088375994
1920,6.283489866000,-1.736088375994
2048,6.400614468000,-1.736088375994
