point_id,feasible,selected,objective_oscillation_error,objective_molecule_cost,objective_fragility,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
0,1,1,0.6750883130955269,520.8984375,0.2700508126990653,1.376485159114876,2.439272001873765,-2.068750031900983,1.276074378162252,1.6007515380899338,0.4161339203732246,1.4126399667744913,-0.4855291401144477,-0.2774443022845544,-0.5168719137498146,0.48020927691787607,-0.2855524669519559,-0.036541061903950095,1.5549350015263748,1.9073577105759405
1,1,0,0.9007318175000396,422.12109375,0.29602718597244043,1.2361976818236644,2.670558568570308,-1.8154696184035264,1.412774127407621,1.2381763309431186,0.3196277706332845,0.7796205909730439,-0.2599987515966081,0.32946907644642764,-0.6121006147148285,0.3348747313290259,-0.16850326552945938,0.23990025729560108,1.7522878963607016,2.1846682803789386
2,1,0,0.8488170506871016,718.7578125,0.23255871665274863,1.2631462585719098,2.338958974427527,-2.0323158566607504,1.467250223706945,1.6630338770265984,0.4159586474041201,1.3119755183163622,-0.4855291401144476,-0.4217050711520193,-0.5168719137498146,0.48020927691787607,-0.390500083401798,-0.09249062132483304,1.8020980028548879,1.8980773525086843
3,1,0,0.8320927501305299,485.25390625,0.38113629639696567,1.2753059913649047,2.3381557856546666,-2.203092364723407,1.467250223706945,1.662636337945439,0.5762431838549544,1.3119755183163622,-0.4853221242609925,-0.2614082702542188,-0.5143108464703482,0.49022073568704616,0.2517330112532703,-0.0924906213248331,1.7505812190539727,1.8980773525086843
4,1,0,0.9998091938340167,202.87890625,0.45269812705535617,1.2404326090618847,2.3459318541876417,-2.2186809104830925,1.3833444040881981,1.2614310482146411,0.4165605673206467,1.0494027527199807,-0.488778946957829,-0.04005637923159233,-0.47835742868485376,0.332496271168516,-0.21526210501322562,0.6899176402028446,1.7575059295753066,2.3853346680415646
5,1,0,1.0839080069892815,200.95703125,0.42094889798189083,1.2404326090618847,2.3459318541876417,-2.2186809104830925,1.4665890121376974,1.2614310482146411,0.4165605673206467,1.0494027527199807,-0.48877894695782903,-0.04005637923159234,-0.47835742868485376,0.33249627116851604,-0.21526210501322562,0.6899176402028447,1.7575059295753066,2.3853346680415646
6,1,0,1.0127392925654766,233.943359375,0.44432988252829586,1.2371921333013414,2.352485352139853,-2.218692795612717,1.4702216068683867,1.2642884164694996,0.24080655903228199,1.0608880706754802,-0.4887789469578291,-0.031460646589637015,-0.47835742868485376,0.4854112686175841,-0.21306950732211777,0.39914881109201517,1.7575478583938222,2.471691112207841
7,1,0,1.1450948042027562,174.62109375,0.41779461438649246,1.633721746387482,2.759332516555274,-2.3800232865356583,1.7240905700261524,1.3843255786377733,0.22358795493365513,1.3863602286521015,-0.21946173755981088,0.22091460178740513,-0.6004457789633584,0.32866623553912766,-0.233544466695851,0.796930177244765,1.7169292288029188,2.293940438203961
8,1,0,1.0597554833806038,391.05078125,0.4054298376302653,1.224147352159128,2.3251794922049616,-2.174997633457502,1.8873168118116168,1.5087356853431073,0.8893639337588861,1.3099961101664603,-0.5522246106879057,-0.38440574307434994,-0.5260360776213135,0.42409391394890716,-0.4569479362450048,0.32711479232537227,1.508691950484033,1.94075767121912
9,1,0,1.0597554833806038,391.05078125,0.4054298376302653,1.224147352159128,2.3251794922049616,-2.174997633457502,1.8873168118116168,1.5087356853431073,0.8893639337588861,1.3099961101664603,-0.5522246106879057,-0.38440574307434994,-0.5260360776213135,0.42409391394890716,-0.45694793624500474,0.3271147923253722,1.508691950484033,1.94075767121912
