design,seed_set,seed,period,amplitude,spectral_concentration,autocorrelation_decay,mean_molecules,failed
initial,training,2611923443488327891,25.705104130,1510.000000000,0.611390195,0.733310513,1362.554687500,false
initial,training,1376283091369227076,25.565345096,1486.000000000,0.584370245,0.352020681,1326.640625000,false
initial,training,11820040416388919760,24.769015447,1522.000000000,0.637123127,1.105374898,1303.867187500,false
initial,training,589684135938649225,23.809591891,1487.000000000,0.602550862,0.073676269,1342.718750000,false
initial,validation,11842495200307133822,25.316021416,1568.000000000,0.637816075,0.229858688,1316.757812500,false
initial,validation,978816653474051672,25.414794159,1453.000000000,0.598816103,0.410289734,1340.859375000,false
initial,validation,8181858928071887598,25.885831173,1632.000000000,0.635848532,0.691823136,1402.210937500,false
initial,validation,8886908412430539189,25.609938685,1540.000000000,0.591236957,0.721355652,1360.398437500,false
initial,validation,11254729910309249043,25.842117447,1485.000000000,0.637324334,0.325917105,1335.414062500,false
initial,validation,14254367960652088816,21.925046219,1573.000000000,0.643962393,0.221421589,1368.898437500,false
initial,validation,14574063016235186415,26.005534532,1508.000000000,0.544351046,0.639030786,1333.101562500,false
initial,validation,10266479475654531086,22.735934436,1436.000000000,0.544192916,0.242896868,1323.773437500,false
optimized,training,2611923443488327891,20.948776261,357.000000000,0.766670451,0.484113583,507.609375000,false
optimized,training,1376283091369227076,21.355337079,360.000000000,0.740820118,0.175541538,525.304687500,false
optimized,training,11820040416388919760,21.585992433,344.000000000,0.757143704,0.083200917,520.843750000,false
optimized,training,589684135938649225,21.146808322,353.000000000,0.761489898,0.258655740,529.835937500,false
optimized,validation,11842495200307133822,21.020463838,364.000000000,0.736063149,0.567871865,538.453125000,false
optimized,validation,978816653474051672,21.156875570,371.000000000,0.755425154,0.600680945,523.312500000,false
optimized,validation,8181858928071887598,21.229969367,346.000000000,0.698601373,0.500477581,530.757812500,false
optimized,validation,8886908412430539189,21.319882784,376.000000000,0.761087606,0.313564055,540.218750000,false
optimized,validation,11254729910309249043,21.532825858,365.000000000,0.741202973,0.701436015,559.375000000,false
optimized,validation,14254367960652088816,21.256898117,353.000000000,0.674054208,0.586244070,491.523437500,false
optimized,validation,14574063016235186415,21.858310018,355.000000000,0.640571880,0.641548585,538.460937500,false
optimized,validation,10266479475654531086,22.040546166,357.000000000,0.701426197,0.240433978,484.179687500,false
