design,seed_set,seed,period,amplitude,spectral_concentration,autocorrelation_decay,mean_molecules,failed
initial,training,2611923443488327891,25.705104130,1510.000000000,0.611390195,0.733310513,1362.554687500,false
initial,training,1376283091369227076,25.565345096,1486.000000000,0.584370245,0.352020681,1326.640625000,false
initial,training,11820040416388919760,24.769015447,1522.000000000,0.637123127,1.105374898,1303.867187500,false
initial,training,589684135938649225,23.809591891,1487.000000000,0.602550862,0.073676269,1342.718750000,false
initial,validation,11842495200307133822,25.316021416,1568.000000000,0.637816075,0.229858688,1316.757812500,false
initial,validation,978816653474051672,25.414794159,1453.000000000,0.598816103,0.410289734,1340.859375000,false
initial,validation,8181858928071887598,25.885831173,1632.000000000,0.635848532,0.691823136,1402.210937500,false
initial,validation,8886908412430539189,25.609938685,1540.000000000,0.591236957,0.721355652,1360.398437500,false
initial,validation,11254729910309249043,25.842117447,1485.000000000,0.637324334,0.325917105,1335.414062500,false
initial,validation,14254367960652088816,21.925046219,1573.000000000,0.643962393,0.221421589,1368.898437500,false
initial,validation,14574063016235186415,26.005534532,1508.000000000,0.544351046,0.639030786,1333.101562500,false
initial,validation,10266479475654531086,22.735934436,1436.000000000,0.544192916,0.242896868,1323.773437500,false
optimized,training,2611923443488327891,21.093420388,555.000000000,0.597475409,0.153286656,519.195312500,false
optimized,training,1376283091369227076,18.663363479,575.000000000,0.576034285,0.123825985,545.171875000,false
optimized,training,11820040416388919760,21.380365877,586.000000000,0.675955276,0.152162142,533.187500000,false
optimized,training,589684135938649225,21.261410385,602.000000000,0.581975123,0.182636647,562.953125000,false
optimized,validation,11842495200307133822,21.515527735,570.000000000,0.696361311,0.462042731,541.000000000,false
optimized,validation,978816653474051672,21.194967012,576.000000000,0.603528904,0.256437854,551.625000000,false
optimized,validation,8181858928071887598,19.488484515,573.000000000,0.569990325,0.247615490,556.546875000,false
optimized,validation,8886908412430539189,21.096668029,572.000000000,0.596481310,0.790968991,556.296875000,false
optimized,validation,11254729910309249043,18.237054871,568.000000000,0.655296975,0.798974620,543.109375000,false
optimized,validation,14254367960652088816,19.329141560,588.000000000,0.539178754,0.485987167,541.289062500,false
optimized,validation,14574063016235186415,21.378504657,590.000000000,0.668343392,0.431627705,553.296875000,false
optimized,validation,10266479475654531086,21.091907872,588.000000000,0.660032552,0.383815448,547.078125000,false
