niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_period_train,descriptor_amplitude_train,descriptor_period_validation,descriptor_amplitude_validation,validation_niche_id,same_niche,visit_count,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
3,3,0,1.6738309076851539,2.64904993634141,17.801134069091766,266.5,18.03101403294253,261.875,3,1,86,1.230025453691133,2.8481065578954405,-2.2414082746561275,1.8054442394120462,1.1989700043360187,0.3512543718210271,1.478483470166896,-0.40341326535824623,-0.3466239844838553,-0.2334179892869479,0.5,-0.30889982188160153,-0.00831082889271261,2.101243666641435,1.855463653353135
4,4,0,1.8387868825671783,2.3590761401258415,21.02366089144033,260.75,21.147416327016987,263,4,1,84,1.2325568644200613,2.8899431363913357,-2.270750350206944,1.7622283153116376,1.2466949825728904,0.33087363607373793,1.5,-0.2006656286112185,-0.32531067201280267,-0.34778037591271177,0.39965448887133603,-0.3298972487190207,-0.053507877521573315,2.126201669375377,1.8912894411751366
2,2,0,1.973134433120732,2.825658013771244,16.001886402599432,250.75,16.550570092475997,242.625,3,0,69,1.1989700043360187,2.8995033559909555,-2.080959787303324,1.7054867831914857,1.1989700043360187,0.5751057450247936,1.4498413269499661,-0.0712711125122641,-0.20031678306273742,-0.3155121202374426,0.43376685283690186,-0.27149102266608743,-0.06010246110688277,2.0224880360697552,1.8134866946350239
6,6,0,2.061418793904656,2.5045634269970707,24.976101365898923,558.25,24.321819059247478,544.5,5,0,72,1.3106519372297143,2.9129404896161124,-2.4289528337655755,1.578664248652831,1.2333520690397384,0.4088309444363867,1.3581422862178132,-0.5295798114803882,-0.20194591230483075,-0.526500008685774,0.5,-0.36759078339755075,0.05667441656226883,2.07763782111286,1.6864127817946417
5,5,0,2.073328616967439,2.3006095087126255,22.61864777653299,329,21.912693886646856,337.375,4,0,69,1.1989700043360187,2.844814555490333,-2.2468760865092063,1.7846415727025278,1.1989700043360187,0.19897000433601886,1.4475087452582336,-0.4424361309843483,-0.3741607166058177,-0.3549209651998101,0.48440215558090466,-0.42079739860167703,-0.0031288555917235797,2.0700231558247792,1.7982837782199204
8,8,0,2.4491045960271913,3.5843041843657533,31.146679509979815,224.5,35.92937127154188,227.375,9,0,85,1.456324710635056,2.1989700043360187,-1.729343777076683,1.2511967852373183,1.488764973332164,0.19897000433601886,1.1981801705392388,-0.19432348992298534,-0.17454880449980412,-1.1366197368329387,0.4805178862152072,-0.41530450315471895,-0.06747712305171069,1.2393719145845241,1.9155246074817949
7,7,0,2.5557358720949384,3.0330740398697573,30.03124792466879,317.5,31.254818565712988,341.875,8,0,65,1.6297791226943825,2.2210911339975885,-1.6617010850267453,1.443909370127896,1.362366240372745,0.19897000433601886,0.984691543935098,-0.38956960706926574,-0.19901198321337304,-1.0771352559977254,0.5,-0.4156321269941221,0.05690419352025537,1.3838976939568683,1.919250010576239
9,9,0,2.558039018353477,3.379108944141561,34.85438866728887,370.25,36.43206551131318,392.5,10,0,51,1.4655738773219678,2.1989700043360187,-1.636085024260274,1.2938896765729755,1.451831840597288,0.2689717236184357,0.973498541675818,-0.3854052514830551,-0.17203717538624957,-1.1387452402609908,0.5,-0.4790140013238965,0.13409866615936653,1.2078308881515678,1.9547825080284242
28,8,1,2.569836158214721,3.437027100659377,32.135028525742584,1171.25,32.05889565409523,1164.75,28,1,98,1.3435682694306417,3.0297639904826807,-2.3195664161395375,1.6025749040160373,1.1989700043360187,0.608707263448942,1.3208136783598265,-0.5883051231167701,-0.5,-0.5515209029446039,0.3535887163102209,-0.3481689854671739,0.07737011605298982,2.126362487664071,1.8106134405348522
24,4,1,2.5933561458589605,3.403450418272306,20.636214868610463,1285.75,21.784577522075523,1306.875,24,1,67,1.3113843273766321,2.5592181773556093,-2.019117888148816,1.9444626308649036,2.015696441436656,0.7726244419090996,1.1283275315084487,-0.26213461341226274,0.2596133007916895,-0.7764541437576198,0.3371493271049663,-0.4101051894835741,0.4441308167820416,1.6299069974860603,2.186644980051219
