niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_period_train,descriptor_amplitude_train,descriptor_period_validation,descriptor_amplitude_validation,validation_niche_id,same_niche,visit_count,decision_log10_alpha_a,decision_log10_alpha_prime_a,decision_log10_alpha_r,decision_log10_alpha_prime_r,decision_log10_beta_a,decision_log10_beta_r,decision_log10_delta_ma,decision_log10_delta_mr,decision_log10_delta_a,decision_log10_delta_r,decision_log10_gamma_a,decision_log10_gamma_r,decision_log10_gamma_c,decision_log10_theta_a,decision_log10_theta_r
1,1,0,2.3009949723770395,2.8868894539496113,17.788042345664888,654,18.27330384373993,658,1,1,44,2.1835472271355325,2.775999691252657,-2.1514731931225817,1.336622058096281,1.3378905113517932,0.7984044359192021,1.0573988755964208,-0.4106684155080366,0.02847892264963458,-0.7306936914386964,0.44475425421473597,-0.5,0.24345326598016243,1.3731550560736916,1.6783873855225133
2,2,0,2.3642132100149547,2.8195150624815786,20.402503490167692,728.5,20.412219262923152,731.75,2,1,37,2.1691632115798063,2.7529383806930543,-2.1591357538608706,1.1989700043360187,1.44369923200672,0.7871606604785011,1.0608209364237458,-0.49856797429019073,0.03186708024612544,-0.7298843894330846,0.2866797239110265,-0.44713743364304914,0.27203358544708045,1.3600758014742769,1.8501702989285618
3,3,0,2.5300874712644146,3.046284248511834,25.727689102627064,1206,27.53146117368115,1170.25,3,1,26,1.243029311821709,2.613768421561703,-1.9867071445491815,1.5448965450572938,1.7837780647316122,0.5232920216378046,1.23626267272295,-0.669963215469147,-0.1847597182915639,-0.4767372787917608,0.28568282676144585,0.17224965741164336,0.06470376827905472,1.9586323034980282,2.1357252573049474
6,6,0,2.581404475775556,4.3833211050710155,46.011507727517916,838.5,50.283946863886484,880,7,0,52,1.4332600521347694,3.024567985768747,-1.7570689760211151,1.361363283797079,1.6072387089565634,0.7464795027906609,1.5,-0.6955061213611524,0.1287763500273219,-0.9485976964465298,0.3882874694002505,-0.17030214235213986,0.7723110494722627,2.0009720687787227,2.356554093816102
4,4,0,2.7036696156572475,3.212594787604714,31.263213518782486,500.5,33.45649668283677,520,4,1,40,1.4321209362980252,2.5311901589909374,-1.650725927204366,2.081730882759805,1.1989700043360187,0.3477835301110007,0.6953720417182971,0.1989700043360188,0.11313766949885634,-1.0428043069734714,0.057713593864573115,-0.4699973888116419,0.3022017816030529,1.2543339620138652,1.7518467416718129
5,5,0,2.7433308346905374,4.667323484651569,39.763630044268155,1381,39.97808902471622,1328,5,1,18,1.1989700043360187,2.6023814135627275,-2.035747221973329,1.650347316123546,1.7812146118869163,0.46072807889319717,1.2536984433799907,-0.6621131548603871,-0.16907568837518205,-0.7757611833612493,0.13668756127537418,0.08454657338930323,0.3048846482568862,2.1989700043360187,1.9259787623595532
7,7,0,2.937082557633874,3.716187671570484,47.69824303971495,1515,43.42647524923081,1532.25,6,0,12,1.6560991121709818,2.917873820900157,-1.848990032945219,1.7503038458244051,1.777375496588267,0.6926273603214486,1.5,-0.620448995731206,0.040752232611417596,-1.0114451682545451,0.45946620397815763,-0.07155946345541775,0.6658652818685113,1.7562439169058162,2.4666163477398055
16,6,1,3.361376303210879,3.491509166873494,44.22257815864762,2092.5,45.09956028757328,2053.5,16,1,28,1.4718741749461337,3.1574674772083484,-1.8088821956371206,1.7676898851567735,1.8323660661239694,0.635838659048738,1.4594348069811478,-0.6916016862476012,0.22822617559686528,-0.9696688791761977,0.37969160529061086,-0.10167422174472701,0.6842461507688733,1.7671291128867257,2.4302472009544527
17,7,1,3.464643887617629,4.791527942021556,47.37876780663308,2197,46.60526199177488,2184.5,16,0,6,1.4732870139179108,3.165013564874687,-1.8127857960793634,1.7164376749104902,1.8538580518924843,0.6449288309085,1.4679711083793603,-0.7386824656265714,0.23018691889815593,-0.94456350863798,0.3906516897988717,-0.10411290972203946,0.6735006942867977,1.7788678672622478,2.4257486577302436
0,0,0,3.506573521529741,3.9055318922489866,12.875488424361311,1039.5,12.855984323414042,1074.25,0,1,21,2.032829894493975,2.7340835942460084,-1.9695133789503072,1.3964623956512985,1.5118804923271194,1.001284029888451,0.9176922855850845,-0.2533809022912088,0.047004670153982554,-0.556994857363233,0.19844929884903942,-0.5,-0.16496892482461412,1.1989700043360187,1.614030780547178
13,3,1,3.5519698504210426,4.31308464229671,25.51369044389056,2469,25.56736581255446,2498.75,13,1,31,1.6451827330145097,2.5271459586422966,-1.5365178669606563,1.685265077398037,1.9973015937450962,1.04927689579303,0.9264064828573255,-0.6515146230633924,0.17373185909532873,-0.6666965507459199,-0.05932484009375878,-0.3514070834809406,0.6754522760537491,1.1989700043360187,2.3060802158904297
12,2,1,3.8653265708913644,4.762352807645138,22.70451748646621,2203.5,25.499405451189062,2247.5,13,0,13,1.889322365965793,2.5031222185464825,-1.5846445108224105,1.6938388840990664,2.050910587487528,1.0076591114473217,0.9763598124948467,-0.6712761494633515,0.10898292972962413,-0.6467588912550496,-0.06662226909873024,-0.31118139469207806,0.8010299956639813,1.1989700043360187,2.415198513792066
14,4,1,3.8908234414589824,4.855759433791862,31.79213921221454,2375.5,34.593678879813936,2350.25,14,1,30,1.5984656733683669,2.5933016999745613,-1.838645768627816,1.7742476014673274,2.0181738575617048,0.6379867942905638,1.0634560566270828,-0.763012178851291,0.07775183949833821,-0.7116720644994173,-0.2534240850873808,-0.2879725459724812,0.6198946085303731,1.2975432186093887,2.5
15,5,1,3.9954066726122064,5.116304247231279,37.311415325602596,2257.5,34.57103933980031,2339.75,14,0,18,1.635022140336761,2.6359187122233316,-1.9984614445128355,1.7808083114419675,2.004441193582075,0.6201415415245912,1.1548131628917089,-0.764978747113655,0.04002884450183723,-0.7506947732501654,-0.22135844034521018,-0.26084835196136835,0.6181350971930155,1.358374364082576,2.4732539856563447
25,5,2,4.55474047102564,6.251008161088718,36.87835041703702,5239.5,42.37017958847324,5466,26,0,22,1.446832062613607,2.677224508274992,-1.7381736197356912,1.794399123168191,1.928433169260118,1.0844587730920667,0.9989117767595883,-0.7329042348988172,-0.05457920582419194,-0.8076450760202138,-0.0719019778354377,-0.36490725580582767,0.8010299956639813,1.2824042529660826,2.049559612861772
8,8,0,4.55580509260279,5.96049961274145,53.483236324770594,1040.5,60.020550022828075,900.5,9,0,25,1.3896636577168473,3.0242629169389406,-1.8198882541400725,1.577043107394436,1.563521398092641,0.7992421890753947,1.5,-0.6746839930999039,0.13430568167627205,-0.9246624827906164,0.26803970045501346,-0.15563750607879387,0.8010299956639813,1.9901070307810054,2.3231918495478885
26,6,2,4.773382158048157,5.661661099002512,42.5957059586965,4236,41.92119620282803,4468.5,26,1,27,1.6842212209737788,2.638214777099604,-1.8607817767378025,1.6622226338781918,1.9997702426555533,1.1029688601921206,1.126293133644723,-0.7108547399867918,-0.1359986350420711,-0.8445647779443229,-0.14939620340814086,-0.20778397413035232,0.6488721197599899,1.2462143024086658,2.3906590860906536
23,3,2,5.101657037386429,6.19376616138757,29.81696255084939,4289,30.144399807628005,4276.5,23,1,17,1.8514222916208571,2.52938042392386,-1.9030231757466034,1.6931011916284886,2.1151207547066355,1.1989700043360187,1.008863231910707,-0.6671436473642335,-0.03243403187701037,-0.685794082417087,-0.1041990083846122,0.025256007591283932,0.7407462017162655,1.2058381258415107,2.3182389290839165
24,4,2,5.291307284267026,5.2952926480338425,31.887864231482205,4149,32.98483477059643,4170,24,1,25,1.7744849952565669,2.4677451126887058,-1.8730452951060441,1.6944117023344942,2.0925376820081483,1.1107735163172578,1.0540924598036323,-0.7188573035721865,-0.11936011696446054,-0.7725645448048102,-0.01015687402784229,-0.12154070171106202,0.7756909759289077,1.1989700043360187,2.317835866035041
27,7,2,5.345883776840853,7.105101893351345,47.932778308918415,4478,47.58867543933735,5014.5,27,1,4,1.4473044282763916,2.9772754370300754,-2.3864152229105593,1.9047166681772343,1.67762326269606,0.6540296703498208,1.0713668488540864,-0.6019489487393297,-0.2821508184009511,-0.8197530001711909,-0.14374473311119404,0.031136908894300597,0.32971412147795276,1.7421139391733764,2.1983089839883356
18,8,1,5.359446778144015,7.040654829941084,56.0734407832642,2451.5,64,2683,19,0,20,1.6497811834792815,3.1095103464292824,-1.8605580361636056,1.7624734214774394,1.7787960488763306,0.7287631506971806,1.4882193950765328,-0.6621500013298489,0.039920878803815396,-1.025523986483682,0.5,-0.03160809106690292,0.6292232015991519,1.768762097704562,2.4669560563304076
36,6,3,5.4674374738466005,5.856188179040025,41.772907297233075,6103.5,41.708725400491176,6074.5,36,1,23,1.6088073842762811,2.6584520466082613,-2.157450838046645,1.8557544385478129,2.1989700043360187,0.9759126316086462,1.1809372780501808,-0.7289763764416013,-0.04912366283254137,-0.9008872293974085,-0.14087717599227742,-0.18310134666300829,0.5671450821508702,1.1989700043360187,2.3840468007636897
34,4,3,5.797827737285726,6.805446595294709,34.00359275783187,6379,37.809476156442095,6243.75,35,0,22,1.4458567081204652,2.755859116163282,-1.9761385918070096,1.8405430079123037,2.0776176245843914,1.0851358351447655,1.073575638609431,-0.7713944690866359,-0.005144012069142148,-0.6773785675749975,-0.05457452815381094,-0.025387311471286193,0.5585753348295117,1.1989700043360187,2.30339022172048
9,9,0,5.880405462977234,3.6222485804588347,64,451.5,41.78932218087682,467.25,6,0,32,1.462746083335779,2.9673460755350796,-1.631105080961422,1.4378457035272691,1.5197452957944937,0.766376815078159,1.5,-0.629855529317325,0.3101458736852071,-0.9800241646121243,0.4411885260141507,-0.15666651217044822,0.7948435903614501,1.9860890330976126,2.3037542741400574
35,5,3,6.304790776978838,7.094398572483078,40.191746152668685,7253,38.119805440978446,7663.25,35,1,8,1.5444775391350365,2.783152787735127,-2.0924324589886276,1.8215419118233585,2.135594351142145,1.063832644988245,1.0527716847133464,-0.7940028611313417,0.012543396189262812,-0.7318343074095395,-0.13674875842134585,-0.031518609718570935,0.6004713297115726,1.1989700043360187,2.3055061050936527
46,6,4,6.446865592386665,7.069357678250469,42.247796188699084,8339.5,40.114193870815065,8422,45,0,11,1.5483963170277035,2.698058616273381,-2.202903963108663,1.9606492935809137,2.06966293351125,1.1399647502937362,0.9868854852584384,-0.8010299956639813,-0.05173029003016867,-0.7170473034633594,0.07567811336659325,0.0019796755629927516,0.6201463113526138,1.4617951131486546,2.3624672450175614
45,5,4,6.609375168403642,7.678287835475727,40.36302964093804,8177,39.75994351735784,8140.25,45,1,14,1.4832475744771756,2.760757901079648,-2.1073872043120416,1.841141008961222,2.126707367462316,1.1389865111880606,1.0412762837398677,-0.8005453626731569,-0.06046262569610294,-0.6873944113477259,-0.051002678255298944,0.03187321167864837,0.5593761419813114,1.4488701498129415,2.3036457273750632
33,3,3,6.708462640631009,6.753900285640854,27.743217814895406,6805,27.471509054509166,6564.25,33,1,8,1.5890365390842003,2.6522727638845525,-1.900925496707597,1.8766165581369791,2.1989700043360187,1.1233904404699961,0.9899732100420225,-0.5988081716102198,-0.10021751515854205,-0.55060465982009,-0.3833752395751384,-0.22763971564576915,0.7123517793401478,1.3416651634390127,2.1719263509572686
44,4,4,6.721470079979831,7.100644642130464,35.31636423742522,8054,38.54235039014633,8006.5,45,0,19,1.550858093320783,2.75520632768194,-2.1613591674036146,1.877775955301841,2.0945879830216696,1.121970703695018,0.9997870464211401,-0.8010299956639813,-0.03457831174097835,-0.683689589714465,0.07793371634822822,-0.028432067836521187,0.6117016263092753,1.4694180945508841,2.3167011943607396
19,9,1,6.779706812600536,6.310443562903714,64,2233,49.23990444130684,2374.75,17,0,34,1.485610874475614,3.1272933688915603,-1.74988244702355,1.7640451583810859,1.750818556051857,0.7367554278229528,1.4411421653224434,-0.6362191856464547,0.09599026230814382,-1.0304841657993935,0.5,-0.1232806973153357,0.5449054058563617,1.8260353279880974,2.4924456781551703
28,8,2,7.26133903373152,8.19338493023135,56.24912470881062,4454,60.09481726662217,4665.25,29,0,6,1.6380763931711737,3.1183527174186,-1.7334157418380083,1.5666092135277752,1.9149489485084572,0.712065053540123,1.2280476034906147,-0.7258944798924384,0.1275478595822605,-1.0921667206451755,0.4572481207671834,-0.026549550083906876,0.6717031146525637,1.7421141932507977,2.3503320073585314
29,9,2,7.536407135806276,7.433616963588211,64,4964,58.47521815380395,5033.25,29,1,45,1.2066854143178323,2.7313737007571186,-2.5,1.8636190003702524,1.6695985429871385,0.8061403819358898,0.9505525815878391,-0.8010299956639813,-0.17580946735510766,-1.0291094445026276,0.01541603408095997,-0.032947617302830835,0.763852771681341,2.1989700043360187,2.364367975398328
38,8,3,7.828920076714793,7.574018687245488,54.02253276802896,6189,48.02701143939455,5771.75,27,0,11,1.4697591957184086,3.012488020515483,-2.3552743786927763,1.9322885267903775,1.6452222097861418,0.7030964363567914,1.024745274521686,-0.6013760090520526,-0.28949442972295913,-0.8342735071868393,-0.20464964395280016,0.08080897540331322,0.2645927146504895,1.7607792725843001,2.1845660434956113
48,8,4,7.907766250475037,9.262408919579942,54.85462159274719,8026,64,8346,49,0,4,1.1989700043360187,2.598381056985426,-2.4671912503579243,1.9102661701682737,1.988310656775848,0.7136858379960445,0.9567966422399425,-0.8010299956639813,-0.30404746485294415,-1.0997808452564877,0.007815499628512461,0.18095355559135376,0.7496382671269557,2.1989700043360187,2.2129454146858674
56,6,5,7.992387684042904,8.686631546678155,41.80692003167026,10408.5,42.32152443196121,10239.5,56,1,13,1.6939994957146545,2.8630777846316136,-2.0433902571362554,1.8236077116830236,2.1620330286199687,1.0622774018306183,1.0577424493119458,-0.8010299956639813,-0.05839662440822394,-0.7771371771317375,-0.10137993111746119,-0.08654929303564313,0.6174966196709255,1.1989700043360187,2.381041631565554
39,9,3,8.265205637732615,7.824526184414784,64,7658.5,58.22202806191301,2885.25,18,0,39,1.2516829597733066,2.9130442770907163,-2.4201284174031454,2.006214619969867,1.7539245946990234,0.9123549268846693,1.2559864836955204,-0.7911314171588764,-0.5,-1.0691460188993376,-0.011205540376518004,0.3699593115238361,0.7755740040607576,2.1989700043360187,2.243109980196624
37,7,3,8.343717777317865,8.00452417676131,47.94992741760781,6197,44.02169612633207,6158.5,36,0,5,1.5192601557140086,2.9795047514437214,-2.5,1.8841781412689333,1.7487264072645339,0.5113820845030436,1.0323266386486243,-0.600624947856398,-0.33157246647224653,-0.8188292765692902,-0.1704197243486202,0.002609716011818187,0.3246787340130286,1.6987155662392412,2.182678224002971
47,7,4,8.571068282646994,8.62143422193286,52.45010448485728,8462.5,64,7312.5,39,0,2,1.371729029658399,2.6977014753017623,-2.5,2.1989700043360187,2.0378865233529275,0.627881653546618,1.0718018862064709,-0.7690823220605519,-0.17671379349024818,-1.1370506352707719,-0.05965103762681943,0.23884537343003828,0.760837534390258,2.1989700043360187,2.2590487011490183
49,9,4,8.696854342534472,8.979180829095487,64,8315.5,64,9069.5,49,1,28,1.3343602685220448,2.8942202154459302,-2.5,1.9693463261301858,1.8750638912694655,0.9106624430500898,1.2506527992811953,-0.7996209992445973,-0.4629720635295145,-1.0989978088554386,-0.0248814538486318,0.4974787381942982,0.7706179500454348,2.051273455219944,2.2599653373021584
67,7,6,8.742621540762032,11.49303145981222,49.04727727743849,12074,54.819534163264066,12536,68,0,2,1.921928964682029,3.0169357375097894,-1.6791350877861415,2.0952074387083672,2.0096264736225797,1.0824288941518319,0.8073859380007876,-0.5276941796890673,0.09315842245295941,-0.970056369177744,-0.15040225676952704,-0.05133239451037905,0.7360360105068636,1.6410717893515732,2.20067917445124
54,4,5,8.787668115874899,9.533475903615946,32.76544978250425,10127,32.873227898565105,10635.5,54,1,14,1.4310785573214149,2.8390296153579637,-2.1191981003160008,1.8555462740270494,2.1050976559713255,1.196710971702608,1.0256257280276522,-0.705791612977773,-0.19627399591760172,-0.5782236182023086,-0.06696447861539592,0.14732849968900555,0.5307012858705487,1.1989700043360187,2.336347143396144
66,6,6,8.882729015368781,9.151438392627616,42.48676964109177,12091.5,37.55320546107502,11985.75,55,0,8,1.6408036303393692,2.863725157972951,-2.1198158392210353,1.8295607202240256,2.099756317506272,1.1989700043360187,1.041394609069158,-0.7358133635843185,-0.1785371519630265,-0.7751733110366749,-0.12303417848432847,0.17658619181227164,0.5710225333943045,1.2466232759562033,2.440375924796144
55,5,5,9.029544346005409,9.515429405626765,37.3937950521828,10416,37.234814310853565,10886.75,55,1,8,1.632265524734062,2.866952687032864,-1.9777441467957704,1.8572245367903502,2.1989700043360187,1.0509999721598668,1.0387723608136497,-0.8010299956639813,-0.08790171134835373,-0.6630549900241565,-0.12426867383048411,-0.10565082972755095,0.5892557759071047,1.2520815031031354,2.3891000345180715
22,2,2,9.03759555634192,9.352309257254843,22.681797622403188,5504.5,24.272350717376803,5587.5,22,1,1,1.9021250290458587,2.709047680423001,-1.8371663414468486,1.729514906108802,2.1989700043360187,1.0140810737334185,0.8682865583512408,-0.4170298469260012,-0.019268463062830386,-0.5209954302734875,-0.06901414694877284,-0.17318944062649783,0.7508735439806324,1.395698853315972,2.408013240940685
65,5,6,9.161213815478693,9.126052806637329,41.127589490913735,12002,42.30915451165566,12425,66,0,12,1.9681598202240558,2.9585496349424045,-1.7381030327907916,2.066038079547372,2.0100438327424004,1.0721946633661414,0.8257255368016561,-0.6208546359490361,0.07400937889164436,-0.8630338800201898,-0.16679300516789905,-0.016348314867778158,0.7335229006078441,1.6064524690413158,2.1923627296639556
59,9,5,9.314038036426027,10.202646650377492,64,10093.5,60.55085963599547,10962.25,59,1,25,1.2974772301849704,2.927046997742143,-2.5,1.96400139654145,1.7942076457637228,0.794262173784829,0.9485006141853035,-0.7834784678703722,-0.34196834611530774,-1.0769743535120397,-0.09887084173523925,0.5,0.8010299956639813,2.067957641951485,2.192769223103224
58,8,5,9.443035655969377,10.21208959355611,55.07605020980307,11363,60.624753846926225,10532.5,59,0,9,1.1989700043360187,2.857218373794872,-2.5,1.8991292653751957,1.6946365559263543,0.8541111709107024,0.890963375422305,-0.8010299956639813,-0.3639875046589966,-1.045622756120596,0.07484851230473648,0.2244688757051912,0.7357862850827328,2.0283150081506034,2.187612774098619
43,3,4,9.9319741885084,10.77332127982916,26.463626543927404,8436,29.46449914548391,7893.75,33,0,7,1.7821614875652827,2.7288127778185163,-1.956041118491302,1.7645551214354485,2.1887382745376414,1.038058815846178,0.8544741082382264,-0.5618897557181921,-0.05153572502809039,-0.647768087797623,-0.07740094775871317,-0.22035066343797546,0.7219212921894372,1.3191744197210002,2.2517534525611045
78,8,7,10.074866019981753,12.525046433916165,56.51392093145126,15059,59.305718221511725,16955.5,89,0,3,1.1989700043360187,2.8264846040663576,-2.5,1.9247451892038503,1.922664630590494,1.0002671628813093,0.925865479732821,-0.7779533102541974,-0.3716125511141307,-1.1289585538750329,0.05419036961594878,0.21602635909467993,0.6806546786548032,1.79555151415999,2.1175031631631427
69,9,6,10.553362510031358,9.915382083366783,64,12669.5,58.46623252282038,9343.5,49,0,28,1.3083433243762637,2.919234656656168,-2.485195294492144,1.9674215511560422,1.796584800135413,0.8631524437208418,0.8945183311210643,-0.8010299956639813,-0.34682777206713616,-1.0813324700873264,-0.04052364634521047,0.4544024440019795,0.8010299956639813,2.0717853309892873,2.194241736450195
