design,seed_set,seed,period,amplitude,spectral_concentration,autocorrelation_decay,mean_molecules,failed
initial,training,2611923443488327891,25.705104130,1510.000000000,0.611390195,0.733310513,1362.554687500,false
initial,training,1376283091369227076,25.565345096,1486.000000000,0.584370245,0.352020681,1326.640625000,false
initial,validation,11842495200307133822,25.316021416,1568.000000000,0.637816075,0.229858688,1316.757812500,false
initial,validation,978816653474051672,25.414794159,1453.000000000,0.598816103,0.410289734,1340.859375000,false
initial,validation,8181858928071887598,25.885831173,1632.000000000,0.635848532,0.691823136,1402.210937500,false
initial,validation,8886908412430539189,25.609938685,1540.000000000,0.591236957,0.721355652,1360.398437500,false
optimized,training,2611923443488327891,17.113093286,676.000000000,0.685305857,0.143098120,866.757812500,false
optimized,training,1376283091369227076,18.462991405,632.000000000,0.668536674,0.327937524,825.078125000,false
optimized,validation,11842495200307133822,18.510633323,660.000000000,0.699339704,0.197058096,825.570312500,false
optimized,validation,978816653474051672,18.323531730,671.000000000,0.745367696,0.463386564,873.867187500,false
optimized,validation,8181858928071887598,18.501614567,665.000000000,0.663882497,0.827822454,843.835937500,false
optimized,validation,8886908412430539189,17.757435755,636.000000000,0.712967362,0.607417913,847.664062500,false
