evaluations,elapsed_seconds,best_quality,feasible_population,pareto_population
128,0.007949504,0.5336467656401594,101,6
640,0.033144291,0.21510964802722266,128,23
1280,0.061177308,0.21510964802722266,128,81
1920,0.08957156,0.21510964802722266,128,128
2560,0.111763775,0.1135567862329232,128,128
3200,0.132560066,0.14248209108441492,128,128
3840,0.152513087,0.13745430250844362,128,128
4480,0.172228556,0.13745430250844362,128,128
5120,0.190628681,0.13745430250844362,128,128
5760,0.209904956,0.13745430250844362,128,128
6400,0.228440493,0.13144486105522835,128,128
7040,0.248188572,0.12996751955117491,128,128
7680,0.268686699,0.1374543025084433,128,128
8192,0.285515138,0.1374543025084433,128,128
