niche_id,grid_x,grid_y,selected,quality_robustness_db,descriptor_log10_f0,descriptor_peak_gain_db,visit_count,r1_index,r2_index,r3_index,c1_index,c2_index,r1_ohm,r2_ohm,r3_ohm,c1_f,c2_f
0,0,0,0,0.19121249677371488,2.212192149597418,-56.60755384671423,1,36,22,24,38,60,100000,6800,10000,0.000000015000000000000002,0.000001
2,2,0,0,0.18495322474540796,2.6027382467759863,-55.58236772548224,1,35,25,2,60,48,82000,12000,150,0.000001,0.0000001
3,3,0,0,0.1780994092605971,2.735759261249098,-59.104193707016194,4,35,26,0,59,47,82000,15000,100,0.00000082,0.000000082
4,4,0,0,0.180219227286115,3.034726792266904,-58.41820936156666,5,31,16,36,16,56,39000,2200,100000,0.00000000022,0.00000047
5,5,0,0,0.17923174674193296,3.32946896293217,-58.71067263990989,3,32,16,36,13,52,47000,2200,100000,0.00000000012,0.00000022
6,6,0,0,0.18177292864964334,3.449904517476501,-55.044184649583904,3,35,28,12,33,42,82000,22000,1000,0.0000000056000000000000005,0.000000033000000000000004
7,7,0,0,0.23186441480693282,3.7401278244773053,-57.83012035311416,2,11,30,19,17,60,820,33000,3900,0.00000000027,0.000001
8,8,0,0,0.17822715168823286,3.9144827242627462,-58.28941222752363,11,33,20,8,33,42,56000,4700,470,0.0000000056000000000000005,0.000000033000000000000004
9,9,0,0,0.17875460375397917,4.079296454619082,-55.65002548055293,6,29,15,11,29,44,27000,1800,820,0.0000000027,0.000000047000000000000004
10,10,0,0,0.17681415362470795,4.365185417153238,-57.60389741194623,13,36,28,9,25,31,100000,22000,560,0.0000000012,0.0000000039
11,11,0,0,0.17641786809799834,4.530292826365608,-59.4558228527133,12,34,26,10,21,32,68000,15000,680,0.0000000005599999999999999,0.0000000047
12,12,0,0,0.17825831887490942,4.827385436339699,-55.950449081664665,8,23,9,1,30,41,8200,560,120,0.0000000033,0.000000027
13,13,0,0,0.17638592729606814,5.124087075722912,-55.24582215518498,5,33,20,0,36,18,56000,4700,100,0.00000001,0.00000000033
14,14,0,0,0.17987963408402372,5.280952727507048,-56.826629219813206,2,20,4,12,14,40,4700,220,1000,0.00000000015,0.000000022000000000000002
