evaluations,elapsed_seconds,coverage,qd_score,best_quality,invalid_fraction
64,0.02169195,0.12,240.40026391350258,0.10929530332376636,0.03125
320,0.102192534,0.39,871.6741039506531,0.060687455795035226,0.028125
640,0.205410839,0.5775,1369.6928783828166,0.060687455795035226,0.01875
960,0.309010517,0.7,1746.1443394240282,0.060687455795035226,0.014583333333333334
1280,0.410715026,0.76,1955.8448970164982,0.060687455795035226,0.01640625
1600,0.510528025,0.8025,2180.777032809062,0.060687455795035226,0.01875
1920,0.613245435,0.835,2337.1189065711073,0.060687455795035226,0.019791666666666666
2240,0.715272807,0.86,2494.1282962207374,0.060687455795035226,0.017410714285714286
2560,0.813222256,0.89,2660.784464308915,0.053520712252559895,0.017578125
2880,0.914045475,0.9075,2816.6411572377174,0.053520712252559895,0.018055555555555554
3200,1.017456122,0.9225,2929.0841997674434,0.05182844045731321,0.0190625
3520,1.116709255,0.935,3037.2380733131204,0.05182844045731321,0.020170454545454547
3840,1.215836756,0.95,3184.92544848411,0.05182844045731321,0.0203125
4096,1.293827783,0.9525,3282.609988606286,0.05182844045731321,0.020751953125
