sample,descriptor_log10_f0,descriptor_peak_gain_db,r1_index,r2_index,r3_index,c1_index,c2_index,r1_ohm,r2_ohm,r3_ohm,c1_f,c2_f
0,4.3753079901189755,10.247634739267657,11,8,17,46,23,820,470,2700,0.000000068,0.00000000082
1,4.159448602514193,-13.595920852832325,20,28,33,12,33,4700,22000,56000,0.00000000009999999999999999,0.0000000056000000000000005
2,3.478109192348791,-38.54122067532398,24,29,1,56,34,10000,27000,120,0.00000047,0.0000000068000000000000005
3,4.377576173346141,-89.69949872331554,21,23,18,2,53,5600,8200,3300,0.000000000015,0.00000027
4,5.495851400355477,-35.6444864754558,31,23,10,24,9,39000,8200,680,0.000000001,0.000000000056
5,4.05745636972003,-76.58857949359431,22,10,32,1,57,6800,680,47000,0.000000000012,0.00000056
6,4.429544518801657,-64.64459703674044,34,32,22,6,33,68000,47000,6800,0.000000000033,0.0000000056000000000000005
7,4.507755828244289,-20.010557955370583,36,24,24,38,3,100000,10000,10000,0.000000015000000000000002,0.000000000018
8,5.644205900152815,-3.2913391679051616,17,26,22,9,14,2700,15000,6800,0.000000000056,0.00000000015
9,4.890614784562316,-83.92114665023395,18,8,10,10,52,3300,470,680,0.000000000068,0.00000022
10,4.20258244649352,-56.696192609058805,18,32,25,6,47,3300,47000,12000,0.000000000033,0.000000082
11,3.814012595788553,-98.43475961776036,30,21,11,17,57,33000,5600,820,0.00000000027,0.00000056
12,3.253228614953167,-8.658724349503162,16,31,11,58,34,2200,39000,820,0.0000006800000000000001,0.0000000068000000000000005
13,4.766875917179922,-41.74787647275883,30,8,5,54,15,33000,470,270,0.00000033,0.00000000018
14,5.226513510708101,-4.886335080866477,18,3,18,26,24,3300,180,3300,0.0000000015,0.000000001
15,3.921280463884649,-61.041904678933655,36,30,10,27,37,100000,33000,680,0.0000000018,0.000000012000000000000002
16,3.899693514414963,-25.079225666374505,25,6,10,54,33,12000,330,680,0.00000033,0.0000000056000000000000005
17,3.587504062681634,-16.57798746033016,7,2,6,48,56,390,150,330,0.0000001,0.00000047
18,4.315386994550716,10.149026117408859,22,5,28,44,16,6800,270,22000,0.000000047000000000000004,0.00000000022
