sample,r1_ohm,grid_peak_hz,interpolated_peak_hz
0,2385,17988.709151287872,18204.91140417289
1,2395,17988.709151287872,18174.183293192556
2,2405,17988.709151287872,18143.681963817005
3,2415,17988.709151287872,18113.400923853118
4,2425,17988.709151287872,18083.333923517166
5,2435,17988.709151287872,18053.474945544214
6,2445,17988.709151287872,18023.81819575397
7,2455,17988.709151287872,17994.35809405233
8,2465,17988.709151287872,17965.089265842566
9,2475,17988.709151287872,17936.006533827527
10,2485,17988.709151287872,17907.10491018028
11,2495,17988.709151287872,17878.379589065567
12,2505,17988.709151287872,17849.8259394935
13,2515,17988.709151287872,17821.439498489097
14,2525,17988.709151287872,17793.21596456132
15,2535,17988.709151287872,17765.151191456578
16,2545,17988.709151287872,17737.241182182865
17,2555,17988.709151287872,17709.482083291216
18,2565,17988.709151287872,17681.87017940117
19,2575,17378.00828749376,17654.428695736915
20,2585,17378.00828749376,17627.184600209486
21,2595,17378.00828749376,17600.132928930463
22,2605,17378.00828749376,17573.268836902014
23,2615,17378.00828749376,17546.587642861352
