section_index,name,outer_diameter_m,wall_m,area_m2,inertia_m4,radius_gyration_m,mass_kg_m,carbon_kg_co2e_per_kg_indicative
0,CHS33.7x2.6,0.03370000000000000,0.00260000000000000,0.00025402918196927,0.00000003092710030,0.01103386831532804,1.99412907845877441,1.69999999999999996
1,CHS42.4x2.6,0.04240000000000000,0.00260000000000000,0.00032509200779347,0.00000006464454575,0.01410141836837699,2.55197226117875564,1.69999999999999996
2,CHS48.3x3.2,0.04830000000000000,0.00320000000000000,0.00045339465176608,0.00000011585650211,0.01598534485083133,3.55914801636372147,1.69999999999999996
3,CHS60.3x3.2,0.06030000000000000,0.00320000000000000,0.00057403180966393,0.00000023468214228,0.02021957591048833,4.50614970586182739,1.69999999999999996
4,CHS76.1x3.6,0.07610000000000000,0.00360000000000000,0.00081995568258694,0.00000054006483528,0.02566420172146408,6.43665210830744616,1.69999999999999996
5,CHS88.9x4.0,0.08890000000000001,0.00400000000000000,0.00106688486515909,0.00000096339836684,0.03004997920132392,8.37504619149889074,1.69999999999999996
6,CHS101.6x4.0,0.10160000000000000,0.00400000000000000,0.00122647777196146,0.00000146284456817,0.03453577854920893,9.62785050989743318,1.69999999999999996
7,CHS114.3x4.5,0.11430000000000000,0.00450000000000000,0.00155226093013872,0.00000234319414350,0.03885275086786006,12.18524830158891348,1.69999999999999996
8,CHS139.7x5.0,0.13969999999999999,0.00500000000000000,0.00211586265219273,0.00000480541236942,0.04765643975372057,16.60952181971290997,1.69999999999999996
9,CHS168.3x6.3,0.16830000000000001,0.00630000000000000,0.00320630946225374,0.00001053420549374,0.05731894320379607,25.16952927869187917,1.69999999999999996
10,CHS193.7x6.3,0.19369999999999998,0.00630000000000000,0.00370902711868118,0.00001630045556260,0.06629333488368190,29.11586288164728131,1.69999999999999996
11,CHS219.1x8.0,0.21909999999999999,0.00800000000000000,0.00530552167338244,0.00002959632873470,0.07468869559712500,41.64834513605214994,1.69999999999999996
