optimizer,evaluations,elapsed_seconds,best_objective
cma-seeded,279,0.02932512200000000,2386.19326766016001784
cma-seeded,1116,0.03030644800000000,2383.39119123076125106
de-seeded,269,0.01081519400000000,2415.10362497624828393
de-seeded,795,0.01104242700000000,2179.18541187001665094
de-seeded,1062,0.01107213800000000,2159.70213390497383443
de-seeded,1334,0.01112414900000000,2153.01323479570555719
de-seeded,1603,0.01136507200000000,2071.20062419302666967
de-seeded,1877,0.01169996800000000,1789.31941100359495067
bite-seeded,256,0.02072027300000000,2336.10535531122195607
bite-unseeded,256,0.00789095700000000,400000106.93281239271163940
