set,name,analysis_type,demand_multiplier,reservoir_delta_m,roughness_factor,pump_outage,pipe_outage,tariff_shift_h,profile_phase_h,hydraulic_timestep_s
training,normal_weekday,DDA,1.00,0.0,1.00,,,0,0,3600
training,high_peak_day,DDA,1.15,0.0,1.00,,,0,0,3600
training,low_night_demand,DDA,0.84,0.0,1.00,,,0,0,3600
training,pattern_perturbed,DDA,1.00,0.0,1.00,,,0,1,3600
training,reservoir_head_reduced_2m,DDA,1.00,-2.0,1.00,,,0,0,3600
training,roughness_degraded_10pct,DDA,1.00,0.0,1.10,,,0,0,3600
holdout,unseen_demand_profile,DDA,1.06,0.0,1.00,,,0,3,3600
holdout,pump_1_outage,PDA,1.00,0.0,1.00,1,,0,0,3600
holdout,pipe_outage_trunk,PDA,1.00,0.0,1.00,,P01,0,0,3600
holdout,tariff_peak_shifted_3h,DDA,1.00,0.0,1.00,,,3,0,3600
holdout,hydraulic_timestep_halved,DDA,1.00,0.0,1.00,,,0,0,1800
